np Sequential Sequential_std MPI MPI_std Speedup Efficiency
seq. 4440 10 0 0 0 0
7 0 0 2947.5 0.9172785836373252 1.50636132 .21519447
15 0 0 881.7983333333333 12.450423990995453 5.03516488 .33567765
31 0 0 303.74033333333335 2.183786670492831 14.61774915 .47154029
63 0 0 158.9523333333333 1.797702669767414 27.93290231 .44337940
127 0 0 79.36583333333333 0.24418048425066674 55.94346853 .44049975
