np Sequential Sequential_std Grain-10000 10000_std Grain-100000 100000_std Grain-500000 500000_std Grain-1000000 1000000_std mean_time_grains Speedup Efficiency
seq. 4.486043333333334 0.000365543735033514 0 0 0 0 0 0 0 0 4.486043333333334 1 1
2 0 0 5.40055 0.007160991551454294 5.785603333333333 0.009556032417041985 6.033983333333334 0.0077680728340789 6.187483333333333 0.01585316442298574 5.85190500 .76659537 .38329768
4 0 0 1.8256666666666668 0.004694183161696559 1.9494366666666665 0.0019472088286113564 2.0673333333333335 0.001036800634430532 2.14784 0.01089272540123288 1.99756916 2.24575119 .56143779
6 0 0 1.0913633333333335 0.0012328918128620206 1.1756166666666668 0.00220267009684971 1.27081 0.0018925291719459586 1.3137566666666667 0.0029505291427508857 1.21288666 3.69865007 .61644167
8 0 0 0.7822096666666667 0.0011267316549304104 0.847165 0.0011682416987364836 0.9636809999999999 0.004655493385954564 1.0540333333333334 0.0009532517447604287 .91177225 4.92013584 .61501698
10 0 0 0.6495676666666667 0.0009507240515639813 0.8173766666666666 0.001154820717206314 0.985913 0.0010142606502604166 1.05528 0.0011601149368345679 .87703433 5.11501452 .51150145
12 0 0 0.6516926666666666 0.0003624732940353971 0.8360833333333333 0.001490300268029545 0.9937650000000001 0.0006506709357783424 1.05491 0.0012304741633479338 .88411275 5.07406248 .42283854
24 0 0 0.8965386666666667 0.0015397069706783889 1.1814 0.006414317318831832 1.2614333333333332 0.005807663519484886 1.3409066666666665 0.0025370893208995025 1.17006966 3.83399680 .15974986
